event_id,ts,event_type,session_id,underlying,exchange,instrument_kind,instrument_class,lifecycle_state,exposure_group,decision_source,strategy_version,score_version,universe_version,parameter_profile,payload_json
20260821132141520341-162,2026-08-21T13:21:41.520341+05:30,PAPER_INSTRUMENT_DEFERRED,20260821_125122,HINDUNILVR,NSE,STOCK,NSE_STOCK_OPTION,,STOCK:HINDUNILVR,staged_scheduler,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""lane"": ""AUDIT"", ""reason"": ""FAILURE_BACKOFF"", ""scheduler_cycle"": 60}"
20260821132141521063-163,2026-08-21T13:21:41.521063+05:30,PAPER_INSTRUMENT_DEFERRED,20260821_125122,ICICIBANK,NSE,STOCK,NSE_STOCK_OPTION,,STOCK:ICICIBANK,staged_scheduler,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""lane"": ""AUDIT"", ""reason"": ""FAILURE_BACKOFF"", ""scheduler_cycle"": 60}"
20260821132141521700-164,2026-08-21T13:21:41.521700+05:30,PAPER_INSTRUMENT_DEFERRED,20260821_125122,ITC,NSE,STOCK,NSE_STOCK_OPTION,,STOCK:ITC,staged_scheduler,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""lane"": ""AUDIT"", ""reason"": ""FAILURE_BACKOFF"", ""scheduler_cycle"": 60}"
20260821132141521978-165,2026-08-21T13:21:41.521978+05:30,PAPER_INSTRUMENT_DEFERRED,20260821_125122,INFY,NSE,STOCK,NSE_STOCK_OPTION,,STOCK:INFY,staged_scheduler,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""lane"": ""AUDIT"", ""reason"": ""FAILURE_BACKOFF"", ""scheduler_cycle"": 60}"
20260821132141522239-166,2026-08-21T13:21:41.522239+05:30,PAPER_INSTRUMENT_DEFERRED,20260821_125122,INDIGO,NSE,STOCK,NSE_STOCK_OPTION,,STOCK:INDIGO,staged_scheduler,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""lane"": ""AUDIT"", ""reason"": ""FAILURE_BACKOFF"", ""scheduler_cycle"": 60}"
20260821132141522422-167,2026-08-21T13:21:41.522422+05:30,PAPER_INSTRUMENT_DEFERRED,20260821_125122,JSWSTEEL,NSE,STOCK,NSE_STOCK_OPTION,,STOCK:JSWSTEEL,staged_scheduler,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""lane"": ""AUDIT"", ""reason"": ""FAILURE_BACKOFF"", ""scheduler_cycle"": 60}"
20260821132141522757-168,2026-08-21T13:21:41.522757+05:30,PAPER_INSTRUMENT_DEFERRED,20260821_125122,JIOFIN,NSE,STOCK,NSE_STOCK_OPTION,,STOCK:JIOFIN,staged_scheduler,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""lane"": ""AUDIT"", ""reason"": ""FAILURE_BACKOFF"", ""scheduler_cycle"": 60}"
20260821132141522942-169,2026-08-21T13:21:41.522942+05:30,PAPER_INSTRUMENT_DEFERRED,20260821_125122,KOTAKBANK,NSE,STOCK,NSE_STOCK_OPTION,,STOCK:KOTAKBANK,staged_scheduler,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""lane"": ""AUDIT"", ""reason"": ""FAILURE_BACKOFF"", ""scheduler_cycle"": 60}"
20260821132209337435-170,2026-08-21T13:22:09.337435+05:30,INCIDENT_ENTRY_BLOCK,20260821_125122,,,,,,INDEX:,incident_guard,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""reason"": ""Cycle failure: RuntimeError: No underlying chains fetched this cycle.; reconnect stabilization in progress""}"
20260821132235022002-171,2026-08-21T13:22:35.022002+05:30,PORTFOLIO_NO_TRADE_BLOCK,20260821_125122,,,,,,INDEX:,portfolio_no_trade_engine,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,"{""reason"": ""Portfolio no-trade hard veto: 21_instruments_data_invalid, no_candidate_grade_A_or_better"", ""snapshot"": {""components"": {""best_candidate_weakness_risk"": 48.41510126894903, ""calibration_uncertainty_risk"": 76.19047619047619, ""cross_instrument_market_hostility"": 24.804655207862517, ""data_breadth_risk"": 100.0, ""event_gap_system_risk"": 0.0, ""liquidity_breadth_risk"": 100.0, ""recent_loss_psychology_risk"": 0.0}, ""enabled"": true, ""hard_vetoes"": [""21_instruments_data_invalid"", ""no_candidate_grade_A_or_better""], ""score"": 50.87423016833357, ""shutdown_above"": 70.0, ""status"": ""BLOCKED"", ""timestamp"": ""2026-08-21T13:22:35.022002+05:30""}}"
