timestamp,label,underlying,status,direction,option_side,raw_signal,range_high,range_low,last_close,atr_points,displacement_points,late_entry_atr,direction_score,trend_efficiency,relative_volume,history_bars,quote_age_seconds,trigger_key,candidate_key,reason,cost_model_valid,portfolio_blocked,research_only,paper_entry_enabled
2026-08-24T12:25:53.796015+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,NIFTY,NO_BREAKOUT,,,False,24198.85,24179.7,24193.15,4.713333333332897,3.5349999999996724,,,,,40,53.796015,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:25:53.796015+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,BANKNIFTY,NO_BREAKOUT,,,False,57411.25,57352.8,57377.3,16.764285714284465,12.573214285713348,,,,,40,53.796015,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:25:53.796015+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,FINNIFTY,NO_BREAKOUT,,,False,26165.6,26138.1,26145.5,6.982142857143377,5.236607142857533,,,,,40,53.796015,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:25:53.796015+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,MIDCPNIFTY,NO_BREAKOUT,,,False,14880.4,14862.5,14875.65,4.146428571428389,3.109821428571292,,,,,40,53.796015,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:25:53.796015+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,SENSEX,NO_BREAKOUT,,,False,77367.16,77311.02,77352.95,13.899285714285465,10.424464285714098,,,,,40,53.796015,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:25:53.796015+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,BANKEX,NO_BREAKOUT,,,False,65061.93,65004.89,65031.06,15.951428571427511,11.963571428570633,,,,,40,53.796015,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:25:53.796015+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,FOCIT,NO_BREAKOUT,,,False,37295.34,37202.88,37299.12,11.265714285714369,8.449285714285777,,,,,40,53.796015,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:25:53.796015+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,NIFTYNXT50,NO_BREAKOUT,,,False,73825.4,73770.85,73795.75,12.903571428575171,9.677678571431379,,,,,40,53.796015,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:25:53.796015+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,ADANIENT,NO_BREAKOUT,,,False,2984.5,2977.0,2982.2,2.1500000000000585,1.6125000000000438,,,,,40,53.796015,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:25:53.796015+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,ADANIPORTS,NO_BREAKOUT,,,False,1680.1,1675.2,1675.3,0.8214285714285714,0.6160714285714286,,,,,40,53.796015,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:25:53.796015+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,APOLLOHOSP,NO_BREAKOUT,,,False,8669.5,8626.5,8662.5,5.533333333333333,4.15,,,,,40,53.796015,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:15.213272+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,NIFTY,NO_BREAKOUT,,,False,24198.85,24179.7,24193.15,4.713333333332897,3.5349999999996724,,,,,40,75.213272,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:15.213272+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,BANKNIFTY,NO_BREAKOUT,,,False,57411.25,57352.8,57377.3,16.764285714284465,12.573214285713348,,,,,40,75.213272,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:15.213272+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,FINNIFTY,NO_BREAKOUT,,,False,26165.6,26138.1,26145.5,6.982142857143377,5.236607142857533,,,,,40,75.213272,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:15.213272+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,MIDCPNIFTY,NO_BREAKOUT,,,False,14880.4,14862.5,14875.65,4.146428571428389,3.109821428571292,,,,,40,75.213272,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:15.213272+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,SENSEX,NO_BREAKOUT,,,False,77367.16,77311.02,77352.95,13.899285714285465,10.424464285714098,,,,,40,75.213272,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:15.213272+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,BANKEX,NO_BREAKOUT,,,False,65061.93,65004.89,65031.06,15.951428571427511,11.963571428570633,,,,,40,75.213272,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:15.213272+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,FOCIT,NO_BREAKOUT,,,False,37295.34,37202.88,37299.12,11.265714285714369,8.449285714285777,,,,,40,75.213272,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:15.213272+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,NIFTYNXT50,NO_BREAKOUT,,,False,73825.4,73770.85,73795.75,12.903571428575171,9.677678571431379,,,,,40,75.213272,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:15.213272+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,ADANIENT,NO_BREAKOUT,,,False,2984.5,2977.0,2982.2,2.1500000000000585,1.6125000000000438,,,,,40,75.213272,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:15.213272+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,ADANIPORTS,NO_BREAKOUT,,,False,1680.1,1675.2,1675.3,0.8214285714285714,0.6160714285714286,,,,,40,75.213272,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:15.213272+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,APOLLOHOSP,NO_BREAKOUT,,,False,8669.5,8626.5,8662.5,5.533333333333333,4.15,,,,,40,75.213272,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:36.284116+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,NIFTY,NO_BREAKOUT,,,False,24198.85,24179.7,24193.15,4.713333333332897,3.5349999999996724,,,,,40,96.284116,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:36.284116+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,BANKNIFTY,NO_BREAKOUT,,,False,57411.25,57352.8,57377.3,16.764285714284465,12.573214285713348,,,,,40,96.284116,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:36.284116+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,FINNIFTY,NO_BREAKOUT,,,False,26165.6,26138.1,26145.5,6.982142857143377,5.236607142857533,,,,,40,96.284116,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:36.284116+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,MIDCPNIFTY,NO_BREAKOUT,,,False,14880.4,14862.5,14875.65,4.146428571428389,3.109821428571292,,,,,40,96.284116,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:36.284116+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,SENSEX,NO_BREAKOUT,,,False,77367.16,77311.02,77352.95,13.899285714285465,10.424464285714098,,,,,40,96.284116,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:36.284116+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,BANKEX,NO_BREAKOUT,,,False,65061.93,65004.89,65031.06,15.951428571427511,11.963571428570633,,,,,40,96.284116,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:36.284116+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,FOCIT,NO_BREAKOUT,,,False,37295.34,37202.88,37299.12,11.265714285714369,8.449285714285777,,,,,40,96.284116,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:36.284116+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,NIFTYNXT50,NO_BREAKOUT,,,False,73825.4,73770.85,73795.75,12.903571428575171,9.677678571431379,,,,,40,96.284116,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:36.284116+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,ADANIENT,NO_BREAKOUT,,,False,2984.5,2977.0,2982.2,2.1500000000000585,1.6125000000000438,,,,,40,96.284116,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:36.284116+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,ADANIPORTS,NO_BREAKOUT,,,False,1680.1,1675.2,1675.3,0.8214285714285714,0.6160714285714286,,,,,40,96.284116,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:26:36.284116+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,APOLLOHOSP,NO_BREAKOUT,,,False,8669.5,8626.5,8662.5,5.533333333333333,4.15,,,,,40,96.284116,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:27:04.157868+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,NIFTY,NO_BREAKOUT,,,False,24198.85,24179.7,24194.4,4.674999999999533,3.5062499999996497,,,,,40,64.157868,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:27:04.157868+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,BANKNIFTY,NO_BREAKOUT,,,False,57411.25,57352.8,57368.15,16.89642857142774,12.672321428570806,,,,,40,64.157868,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:27:04.157868+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,FINNIFTY,NO_BREAKOUT,,,False,26164.05,26138.1,26147.2,7.046428571428935,5.284821428571702,,,,,40,64.157868,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:27:04.157868+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,MIDCPNIFTY,NO_BREAKOUT,,,False,14880.4,14862.5,14875.9,4.139285714285506,3.10446428571413,,,,,40,64.157868,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:27:04.157868+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,ASIANPAINT,NO_BREAKOUT,,,False,2632.9,2629.0,2630.8,0.8066666666666303,0.6049999999999728,,,,,40,64.157868,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:27:04.157868+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,AXISBANK,NO_BREAKOUT,,,False,1234.8,1232.4,1234.1,0.7071428571428474,0.5303571428571355,,,,,40,64.157868,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:27:04.157868+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,BAJAJ-AUTO,NO_BREAKOUT,,,False,11818.0,11795.0,11808.0,4.571428571428571,3.4285714285714284,,,,,40,64.157868,,,Latest close did not break the prior rolling range,False,True,True,False
2026-08-24T12:27:04.157868+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,BAJFINANCE,NO_BREAKOUT,,,False,1087.1,1085.4,1086.3,0.5357142857143019,0.4017857142857264,,,,,40,64.157868,,,Latest close did not break the prior rolling range,False,True,True,False
