skip_id,created_at,underlying,expiry,strike,side,entry_mid,entry_bid,entry_ask,hard_stop_points,target_r,ComparableOpportunityScore,gate_snapshot_id,gate_features_json,instrument_id,instrument_class,evidence_profile,parameter_profile,strategy_version,score_version,universe_version
202608241225_1_FINNIFTY_PE,2026-08-24T06:55:53.953164+00:00,FINNIFTY,2026-08-25,26150.0,PE,79.75,79.45,80.05,15.950000000000001,2.0,52.21116605774306,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 1.835458769095463, ""excellent_score_min"": 52.21116605774306, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.25, ""final_confidence_min"": 80.39807330638003, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.30635532308942, ""min_5depth_lots_each_side"": 11.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.7523510971786763, ""trade_quality_min"": 28.74251497005237}",FINNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608241225_2_FINNIFTY_CE,2026-08-24T06:55:53.963196+00:00,FINNIFTY,2026-08-25,26100.0,CE,136.75,136.5,137.0,25.0,2.0,51.880783479305876,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 51.880783479305876, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.25, ""final_confidence_min"": 79.8474356756514, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.30635532308942, ""min_5depth_lots_each_side"": 5.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.3656307129798903, ""trade_quality_min"": 28.74251497005237}",FINNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608241225_3_FINNIFTY_CE,2026-08-24T06:55:53.963846+00:00,FINNIFTY,2026-08-25,26200.0,CE,81.025,80.7,81.35,16.205000000000002,2.0,49.066502172830866,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 49.066502172830866, ""execution_quality_min"": 99.90479129016663, ""expected_required_ratio_min"": 1.25, ""final_confidence_min"": 79.8474356756514, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.30635532308942, ""min_5depth_lots_each_side"": 8.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.8022215365627787, ""trade_quality_min"": 28.74251497005237}",FINNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608241225_4_MIDCPNIFTY_CE,2026-08-24T06:55:53.964391+00:00,MIDCPNIFTY,2026-08-25,14875.0,CE,56.75,56.6,56.9,11.350000000000001,2.0,48.73465380199522,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 2.474606702284164, ""excellent_score_min"": 48.73465380199522, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 77.4469485810993, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.458786831684968, ""min_5depth_lots_each_side"": 11.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5286343612334752, ""trade_quality_min"": 18.58585858585562}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608241225_5_MIDCPNIFTY_CE,2026-08-24T06:55:53.964890+00:00,MIDCPNIFTY,2026-08-25,14850.0,CE,72.9,72.65,73.15,14.580000000000002,2.0,48.73465380199522,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 2.474606702284164, ""excellent_score_min"": 48.73465380199522, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 77.4469485810993, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.458786831684968, ""min_5depth_lots_each_side"": 18.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6858710562414266, ""trade_quality_min"": 18.58585858585562}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608241227_1_NIFTY_CE,2026-08-24T06:57:04.251051+00:00,NIFTY,2026-08-25,24150.0,CE,101.225,101.1,101.35,20.245,2.0,53.648725769531154,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 0.9590145298973458, ""excellent_score_min"": 53.648725769531154, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 79.73687543530399, ""iv_crush_max"": 28.5, ""market_hostility_max"": 18.763793054754544, ""min_5depth_lots_each_side"": 136.0, ""min_top_book_lots"": 5.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.24697456162015313, ""trade_quality_min"": 26.97674418606461}",NIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608241227_2_FINNIFTY_PE,2026-08-24T06:57:04.251589+00:00,FINNIFTY,2026-08-25,26150.0,PE,79.5,79.15,79.85,15.9,2.0,47.417743034006804,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.917775007456922, ""excellent_score_min"": 47.417743034006804, ""execution_quality_min"": 96.54986522911113, ""expected_required_ratio_min"": 1.25, ""final_confidence_min"": 75.84819256690658, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.331976751969705, ""min_5depth_lots_each_side"": 13.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.8805031446540738, ""trade_quality_min"": 14.03508771929347}",FINNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608241227_3_MIDCPNIFTY_CE,2026-08-24T06:57:04.252130+00:00,MIDCPNIFTY,2026-08-25,14875.0,CE,57.2,57.05,57.35,11.440000000000001,2.0,46.8426371754036,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 1.452276578005491, ""excellent_score_min"": 46.8426371754036, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 75.42069862955609, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.359953839862186, ""min_5depth_lots_each_side"": 13.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5244755244755319, ""trade_quality_min"": 12.342857142850873}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608241227_4_MIDCPNIFTY_PE,2026-08-24T06:57:04.252678+00:00,MIDCPNIFTY,2026-08-25,14900.0,PE,51.1,50.95,51.25,10.22,2.0,46.58122739136261,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 46.58122739136261, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 74.98501565615445, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.359953839862186, ""min_5depth_lots_each_side"": 21.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5870841487279788, ""trade_quality_min"": 12.342857142850873}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608241227_5_BANKNIFTY_PE,2026-08-24T06:57:04.253172+00:00,BANKNIFTY,2026-08-25,57400.0,PE,186.85,186.6,187.1,25.0,2.0,45.709106990440326,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.48107425973786194, ""excellent_score_min"": 45.709106990440326, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666667, ""final_confidence_min"": 73.60906150796295, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.833509093940826, ""min_5depth_lots_each_side"": 19.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.2675943270002676, ""trade_quality_min"": 6.78966789667421}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
