skip_id,window_minutes,observed_at,underlying,instrument_id,instrument_class,gate_snapshot_id,gate_features_json,ComparableOpportunityScore,strategy_version,score_version,parameter_profile,source,future_bid,future_ask,mfe_points,mae_points,would_have_hit_target,would_have_hit_stop,forward_r_multiple,status,reason,evidence_profile
202608241225_1_FINNIFTY_PE,5,2026-08-24T12:31:11.537184+05:30,FINNIFTY,FINNIFTY,NSE_INDEX,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 1.835458769095463, ""excellent_score_min"": 52.21116605774306, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.25, ""final_confidence_min"": 80.39807330638003, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.30635532308942, ""min_5depth_lots_each_side"": 11.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.7523510971786763, ""trade_quality_min"": 28.74251497005237}",52.21116605774306,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,83.9,84.55,4.150000000000006,0.0,False,False,0.26018808777429503,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608241225_2_FINNIFTY_CE,5,2026-08-24T12:31:11.537184+05:30,FINNIFTY,FINNIFTY,NSE_INDEX,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 51.880783479305876, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.25, ""final_confidence_min"": 79.8474356756514, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.30635532308942, ""min_5depth_lots_each_side"": 5.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.3656307129798903, ""trade_quality_min"": 28.74251497005237}",51.880783479305876,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,129.6,131.2,0.0,-7.150000000000006,False,False,-0.28600000000000025,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608241225_3_FINNIFTY_CE,5,2026-08-24T12:31:11.537184+05:30,FINNIFTY,FINNIFTY,NSE_INDEX,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 49.066502172830866, ""execution_quality_min"": 99.90479129016663, ""expected_required_ratio_min"": 1.25, ""final_confidence_min"": 79.8474356756514, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.30635532308942, ""min_5depth_lots_each_side"": 8.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.8022215365627787, ""trade_quality_min"": 28.74251497005237}",49.066502172830866,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,76.0,76.5,0.0,-5.025000000000006,False,False,-0.31008947855600155,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608241225_4_MIDCPNIFTY_CE,5,2026-08-24T12:31:11.537184+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 2.474606702284164, ""excellent_score_min"": 48.73465380199522, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 77.4469485810993, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.458786831684968, ""min_5depth_lots_each_side"": 11.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5286343612334752, ""trade_quality_min"": 18.58585858585562}",48.73465380199522,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Future quote invalid,FYERS_PAPER_PROXY_RESEARCH
202608241225_5_MIDCPNIFTY_CE,5,2026-08-24T12:31:11.537184+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 2.474606702284164, ""excellent_score_min"": 48.73465380199522, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 77.4469485810993, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.458786831684968, ""min_5depth_lots_each_side"": 18.0, ""min_top_book_lots"": 2.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6858710562414266, ""trade_quality_min"": 18.58585858585562}",48.73465380199522,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Future quote invalid,FYERS_PAPER_PROXY_RESEARCH
202608241227_1_NIFTY_CE,5,2026-08-24T12:32:18.937654+05:30,NIFTY,NIFTY,NSE_INDEX,00929e22c867,"{""contract_quality_min"": 0.0, ""direction_min"": 0.9590145298973458, ""excellent_score_min"": 53.648725769531154, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.3333333333333335, ""final_confidence_min"": 79.73687543530399, ""iv_crush_max"": 28.5, ""market_hostility_max"": 18.763793054754544, ""min_5depth_lots_each_side"": 136.0, ""min_top_book_lots"": 5.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.24697456162015313, ""trade_quality_min"": 26.97674418606461}",53.648725769531154,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,97.0,97.15,0.0,-4.224999999999994,False,False,-0.2086935045690291,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608241227_2_FINNIFTY_PE,5,2026-08-24T12:32:18.937654+05:30,FINNIFTY,FINNIFTY,NSE_INDEX,e172b0fef65b,"{""contract_quality_min"": 0.0, ""direction_min"": 0.917775007456922, ""excellent_score_min"": 47.417743034006804, ""execution_quality_min"": 96.54986522911113, ""expected_required_ratio_min"": 1.25, ""final_confidence_min"": 75.84819256690658, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.331976751969705, ""min_5depth_lots_each_side"": 13.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.8805031446540738, ""trade_quality_min"": 14.03508771929347}",47.417743034006804,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,83.2,83.8,3.700000000000003,0.0,False,False,0.23270440251572344,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608241227_3_MIDCPNIFTY_CE,5,2026-08-24T12:32:18.937654+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 1.452276578005491, ""excellent_score_min"": 46.8426371754036, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 75.42069862955609, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.359953839862186, ""min_5depth_lots_each_side"": 13.0, ""min_top_book_lots"": 3.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5244755244755319, ""trade_quality_min"": 12.342857142850873}",46.8426371754036,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,51.5,51.75,0.0,-5.700000000000003,False,False,-0.49825174825174845,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608241227_4_MIDCPNIFTY_PE,5,2026-08-24T12:32:18.937654+05:30,MIDCPNIFTY,MIDCPNIFTY,NSE_INDEX,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 46.58122739136261, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 74.98501565615445, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.359953839862186, ""min_5depth_lots_each_side"": 21.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.5870841487279788, ""trade_quality_min"": 12.342857142850873}",46.58122739136261,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,56.25,56.55,5.149999999999999,0.0,False,False,0.503913894324853,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
202608241227_5_BANKNIFTY_PE,5,2026-08-24T12:32:18.937654+05:30,BANKNIFTY,BANKNIFTY,NSE_INDEX,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 0.48107425973786194, ""excellent_score_min"": 45.709106990440326, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666667, ""final_confidence_min"": 73.60906150796295, ""iv_crush_max"": 28.5, ""market_hostility_max"": 20.833509093940826, ""min_5depth_lots_each_side"": 19.0, ""min_top_book_lots"": 1.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.2675943270002676, ""trade_quality_min"": 6.78966789667421}",45.709106990440326,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,SKIPPED_FORWARD_PROXY,195.25,195.9,8.400000000000006,0.0,False,False,0.33600000000000024,OBSERVED,,FYERS_PAPER_PROXY_RESEARCH
