ts,date,underlying,exchange,instrument_kind,instrument_class,lifecycle_state,exposure_group,strategy_version,score_version,universe_version,parameter_profile,side,setup_type,strike,expiry,dte,grade,comparable_score,opportunity_score,threshold,eligible,decision,direction,direction_model_score,direction_model_name,direction_model_status,direction_model_disagreement,gate_snapshot_id,gate_learning_status,gate_learning_observations,gate_learning_sessions,gate_learning_outcomes,gate_contract_quality_min,gate_direction_min,gate_premium_elasticity_min,gate_expected_required_ratio_min,gate_trade_quality_min,gate_final_confidence_min,gate_market_hostility_max,gate_iv_crush_max,gate_min_top_book_lots,gate_min_5depth_lots_each_side,cost_model_status,cost_model_valid,canonical_promotion_allowed,iv_context_status,iv_context_reason,iv_context_source,trade_quality,market_hostility,iv_crush,convexity,execution,confidence,regime_fit,premium_elasticity,expected_move,required_move,exp_req_ratio,bid,ask,mid,spread_pct,reasons,calibrated_probability,calibrated_expectancy_r
2026-08-18T10:25:34.012118+05:30,2026-08-18,BAJFINANCE,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:BAJFINANCE,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,CE,UNKNOWN,1080.0,2026-08-25,7,Reject,34.09,54.09,87.0,False,DATA_INVALID,11.7,,BAJFINANCE,NOT_CONFIGURED,,58c303dc05a9,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,64.0,25.7,24.0,76.8,58.6,76.1,60.0,0.7,20.5,17.6,1.17,23.85,24.25,24.05,1.66,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 11.7 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ExecutionQuality below excellent gate: 58.6 < 80.0; ConvexityEdge below excellent gate: 76.8 < 80.0; RegimeFit below excellent gate: 60.0 < 70.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,BAJFINANCE,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:BAJFINANCE,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,PE,UNKNOWN,1100.0,2026-08-25,7,Reject,29.97,49.97,87.0,False,DATA_INVALID,-11.7,,BAJFINANCE,NOT_CONFIGURED,,58c303dc05a9,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,64.0,25.7,24.0,76.8,46.6,70.5,60.0,0.7,20.5,17.6,1.17,16.2,16.5,16.35,1.83,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -11.7 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ExecutionQuality below excellent gate: 46.6 < 80.0; ConvexityEdge below excellent gate: 76.8 < 80.0; RegimeFit below excellent gate: 60.0 < 70.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,BAJAJFINSV,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:BAJAJFINSV,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,CE,UNKNOWN,2000.0,2026-08-25,7,Reject,26.28,46.28,87.0,False,DATA_INVALID,11.2,,BAJAJFINSV,NOT_CONFIGURED,,e97256bacfa6,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,38.6,26.3,24.0,78.3,52.4,69.7,60.0,0.5,34.3,29.4,1.17,28.3,28.8,28.55,1.75,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 11.2 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ExecutionQuality below excellent gate: 52.4 < 80.0; ConvexityEdge below excellent gate: 78.3 < 80.0; OpportunityConfidence below excellent gate: 69.7 < 70.0; RegimeFit below excellent gate: 60.0 < 70.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,BAJAJFINSV,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:BAJAJFINSV,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,CE,UNKNOWN,1980.0,2026-08-25,7,Reject,28.11,48.11,87.0,False,DATA_INVALID,11.2,,BAJAJFINSV,NOT_CONFIGURED,,e97256bacfa6,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,38.6,26.3,24.0,76.8,65.2,71.9,60.0,0.7,34.3,29.4,1.17,41.1,41.75,41.42,1.57,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 11.2 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ExecutionQuality below excellent gate: 65.2 < 80.0; ConvexityEdge below excellent gate: 76.8 < 80.0; RegimeFit below excellent gate: 60.0 < 70.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,BAJAJFINSV,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:BAJAJFINSV,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,CE,UNKNOWN,2020.0,2026-08-25,7,Reject,24.95,44.95,87.0,False,DATA_INVALID,11.2,,BAJAJFINSV,NOT_CONFIGURED,,e97256bacfa6,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,38.6,26.3,24.0,62.3,63.6,71.7,60.0,0.3,34.3,29.4,1.17,18.7,19.0,18.85,1.59,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 11.2 < 65.0; PremiumElasticity hard reject: 0.30 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ExecutionQuality below excellent gate: 63.6 < 80.0; ConvexityEdge below excellent gate: 62.3 < 80.0; RegimeFit below excellent gate: 60.0 < 70.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,BAJAJFINSV,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:BAJAJFINSV,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,PE,UNKNOWN,2020.0,2026-08-25,7,Reject,28.32,48.32,87.0,False,DATA_INVALID,-11.2,,BAJAJFINSV,NOT_CONFIGURED,,e97256bacfa6,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,38.6,26.3,24.0,76.8,78.0,71.6,60.0,0.7,34.3,29.4,1.17,30.25,30.65,30.45,1.31,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -11.2 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ExecutionQuality below excellent gate: 78.0 < 80.0; ConvexityEdge below excellent gate: 76.8 < 80.0; RegimeFit below excellent gate: 60.0 < 70.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,BHARTIARTL,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:BHARTIARTL,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,CE,UNKNOWN,1920.0,2026-08-25,7,Reject,24.63,44.63,87.0,False,DATA_INVALID,4.5,,BHARTIARTL,NOT_CONFIGURED,,d009a6fae530,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,12.8,28.1,24.0,76.8,96.0,70.0,60.0,0.7,27.7,23.7,1.17,33.45,33.75,33.6,0.89,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 4.5 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 76.8 < 80.0; RegimeFit below excellent gate: 60.0 < 70.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,BHARTIARTL,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:BHARTIARTL,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,PE,UNKNOWN,1960.0,2026-08-25,7,Reject,24.05,44.05,87.0,False,DATA_INVALID,-4.5,,BHARTIARTL,NOT_CONFIGURED,,d009a6fae530,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,12.8,28.1,24.0,76.8,97.6,68.6,60.0,0.7,27.7,23.7,1.17,29.1,29.35,29.23,0.86,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -4.5 < 65.0; PremiumElasticity hard reject: 0.70 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; ConvexityEdge below excellent gate: 76.8 < 80.0; OpportunityConfidence below excellent gate: 68.6 < 70.0; RegimeFit below excellent gate: 60.0 < 70.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,CIPLA,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:CIPLA,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,CE,UNKNOWN,1430.0,2026-08-25,7,Reject,17.94,37.94,87.0,False,DATA_INVALID,-4.5,,CIPLA,NOT_CONFIGURED,,fcbb76385597,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,29.1,27.5,24.0,78.3,31.8,60.9,60.0,0.5,22.8,19.6,1.17,19.35,19.75,19.55,2.05,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: -4.5 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; FinalConfidence below configured minimum; ExecutionQuality below excellent gate: 31.8 < 80.0; ConvexityEdge below excellent gate: 78.3 < 80.0; OpportunityConfidence below excellent gate: 60.9 < 70.0; RegimeFit below excellent gate: 60.0 < 70.0,,
2026-08-18T10:25:34.012118+05:30,2026-08-18,CIPLA,NSE,STOCK,NSE_STOCK_OPTION,PAPER_ELIGIBLE,STOCK:CIPLA,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,PE,UNKNOWN,1430.0,2026-08-25,7,Reject,15.73,35.73,87.0,False,DATA_INVALID,4.5,,CIPLA,NOT_CONFIGURED,,fcbb76385597,WARMUP_OBSERVATIONS,0,0,0,90.0,65.0,1.0,1.6,70.0,65.0,35.0,50.0,3.0,20.0,COST_MODEL_UNVALIDATED,False,False,DISABLED,Daily market context is disabled until operator review,MANUAL_PROXY_RESEARCH,29.1,27.5,24.0,78.3,14.1,58.7,60.0,0.5,22.8,19.6,1.17,12.9,13.2,13.05,2.3,DataHealth invalid; Contract invalid: Quote stale or spread hard rejected.; SideDirection hard reject: 4.5 < 65.0; PremiumElasticity hard reject: 0.50 < 1.00; Expected/Required hard reject: 1.17 < 1.60; TradeQuality below configured minimum; FinalConfidence below configured minimum; ExecutionQuality below excellent gate: 14.1 < 80.0; ConvexityEdge below excellent gate: 78.3 < 80.0; OpportunityConfidence below excellent gate: 58.7 < 70.0; RegimeFit below excellent gate: 60.0 < 70.0,,
