ts,date,stage,underlying,instrument_class,exchange,instrument_kind,side,strike,passed,reasons,score,gate_snapshot_id,strategy_version,score_version,universe_version,parameter_profile
2026-08-25T10:47:46.394322+05:30,2026-08-25,PAPER_CALIBRATION_PRE_ENTRY,SENSEX,BSE_INDEX,BSE,INDEX,CE,77200.0,True,,43.393481153549175,2c55d017dc19,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
2026-08-25T10:47:46.396058+05:30,2026-08-25,PAPER_CALIBRATION_FRESH_SCORE,SENSEX,BSE_INDEX,BSE,INDEX,CE,77200.0,True,,43.393481153549175,2c55d017dc19,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
2026-08-25T10:47:46.396672+05:30,2026-08-25,MAPPING_VALIDATION,SENSEX,BSE_INDEX,BSE,INDEX,CE,77200.0,True,,43.393481153549175,2c55d017dc19,paper-strategy-e935c30a69b1,opportunity-score-e935c30a69b1,universe-a8e55c76a270,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH
