timestamp,label,underlying,status,direction,option_side,raw_signal,range_high,range_low,last_close,atr_points,displacement_points,late_entry_atr,direction_score,trend_efficiency,relative_volume,history_bars,quote_age_seconds,trigger_key,candidate_key,reason,cost_model_valid,portfolio_blocked,research_only,paper_entry_enabled
2026-08-21T14:41:27.384643+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,NIFTY,INSUFFICIENT_HISTORY,,,False,,,,,,,,,,0,,,,Need at least 20 valid history bars,False,False,True,False
2026-08-21T14:41:27.384643+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,BANKNIFTY,NO_BREAKOUT,,,False,57700.3,57634.6,57650.75,18.878571428572155,14.158928571429115,,,,,40,27.384643,,,Latest close did not break the prior rolling range,False,False,True,False
2026-08-21T14:41:27.384643+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,FINNIFTY,NO_BREAKOUT,,,False,26257.7,26230.4,26242.25,7.0966666666667155,5.322500000000037,,,,,40,27.384643,,,Latest close did not break the prior rolling range,False,False,True,False
2026-08-21T14:41:27.384643+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,MIDCPNIFTY,INSUFFICIENT_HISTORY,,,False,,,,,,,,,,0,,,,Need at least 20 valid history bars,False,False,True,False
2026-08-21T14:41:27.384643+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,FOCIT,NO_BREAKOUT,,,False,37121.25,37056.43,37054.82,9.44000000000025,7.0800000000001875,,,,,40,27.384643,,,Latest close did not break the prior rolling range,False,False,True,False
2026-08-21T14:41:27.384643+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,NIFTYNXT50,NO_BREAKOUT,,,False,73896.75,73832.75,73864.7,11.424999999999793,8.568749999999845,,,,,40,27.384643,,,Latest close did not break the prior rolling range,False,False,True,False
2026-08-21T14:41:27.384643+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,ADANIENT,NO_BREAKOUT,,,False,3002.0,2995.0,2995.9,2.121428571428656,1.591071428571492,,,,,40,27.384643,,,Latest close did not break the prior rolling range,False,False,True,False
2026-08-21T14:41:27.384643+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,ADANIPORTS,NO_BREAKOUT,,,False,1698.5,1694.0,1696.8,1.2066666666666757,0.9050000000000067,,,,,40,27.384643,,,Latest close did not break the prior rolling range,False,False,True,False
2026-08-21T14:41:27.384643+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,APOLLOHOSP,NO_BREAKOUT,,,False,8666.0,8652.0,8656.5,3.0357142857142856,2.2767857142857144,,,,,40,27.384643,,,Latest close did not break the prior rolling range,False,False,True,False
2026-08-21T14:41:57.804440+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,BANKNIFTY,NO_BREAKOUT,,,False,57700.3,57634.6,57650.75,18.878571428572155,14.158928571429115,,,,,40,57.80444,,,Latest close did not break the prior rolling range,False,False,True,False
2026-08-21T14:41:57.804440+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,FINNIFTY,NO_BREAKOUT,,,False,26257.7,26230.4,26242.25,7.0966666666667155,5.322500000000037,,,,,40,57.80444,,,Latest close did not break the prior rolling range,False,False,True,False
2026-08-21T14:41:57.804440+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,MIDCPNIFTY,NO_BREAKOUT,,,False,14862.0,14845.0,14852.75,3.3928571428574026,2.544642857143052,,,,,40,0.0,,,Latest close did not break the prior rolling range,False,False,True,False
2026-08-21T14:41:57.804440+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,SENSEX,NO_BREAKOUT,,,False,77576.25,77509.6,77538.33,14.661428571428198,10.996071428571149,,,,,40,0.0,,,Latest close did not break the prior rolling range,False,False,True,False
2026-08-21T14:41:57.804440+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,BANKEX,NO_BREAKOUT,,,False,65377.79,65307.25,65327.14,16.251428571429383,12.188571428572036,,,,,40,0.0,,,Latest close did not break the prior rolling range,False,False,True,False
2026-08-21T14:41:57.804440+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,FOCIT,NO_BREAKOUT,,,False,37121.25,37056.43,37054.82,9.44000000000025,7.0800000000001875,,,,,40,57.80444,,,Latest close did not break the prior rolling range,False,False,True,False
2026-08-21T14:41:57.804440+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,NIFTYNXT50,NO_BREAKOUT,,,False,73896.75,73832.75,73864.7,11.424999999999793,8.568749999999845,,,,,40,57.80444,,,Latest close did not break the prior rolling range,False,False,True,False
2026-08-21T14:41:57.804440+05:30,EXPERIMENTAL_IMPULSE_BREAKOUT,ADANIENT,NO_BREAKOUT,,,False,3002.0,2995.0,2995.9,2.121428571428656,1.591071428571492,,,,,40,57.80444,,,Latest close did not break the prior rolling range,False,False,True,False
